iter	RMSE
351	64.18516775
352	63.96744277
353	63.89867776
354	63.79663485
355	63.73894837
356	63.47266219
357	63.27926393
358	63.20371352
359	63.07467516
360	62.92717509
361	62.83554378
362	62.79774839
363	62.63978408
364	62.40595578
365	62.22904906
366	62.10562306
367	62.02855248
368	61.90925612
369	61.80664992
370	61.6615078
371	61.59541312
372	61.53956108
373	61.43663416
374	61.30421462
375	61.06469065
376	60.95425374
377	60.89400315
378	60.76373968
379	60.62402337
380	60.48233206
381	60.40380827
382	60.20016853
383	60.12581054
384	60.05786859
385	59.91695261
386	59.83436922
387	59.74482009
388	59.62981186
389	59.42901485
390	59.32530244
391	59.20445504
392	59.1385504
393	59.05262268
394	58.91277248
395	58.79423804
396	58.64500959
397	58.54589983
398	58.46399927
399	58.35259537
